"Pair","PfamH","Pfam","PFamL"
"Athericidae_Pelecypoda",0.0317124735729387,0.0210016155088853,0.005
"Athericidae_Peltoperlidae",0.0147991543340381,0.00646203554119548,0
"Athericidae_Perlidae",0.268498942917548,0.113085621970921,0.005
"Athericidae_Perlodidae",0.03276955602537,0.00484652665589661,0
"Athericidae_Philopotamidae",0.278012684989429,0.141357027463651,0.005
"Athericidae_Physidae",0.0105708245243129,0.00484652665589661,0.005
"Athericidae_Polycentropodidae",0.0274841437632135,0.00565428109854604,0.0025
"Athericidae_Polymitarcyidae",0.00739957716701903,0.000807754442649435,0
"Athericidae_Potamanthidae",0.00422832980972516,0.0024232633279483,0
"Athericidae_Psephenidae",0.199788583509514,0.138933764135703,0.0075
"Athericidae_Pteronarcidae",0.0369978858350951,0.00403877221324717,0
"Athericidae_Rhyacophilidae",0.113107822410148,0.0452342487883683,0
"Athericidae_Sialidae",0.0147991543340381,0.0161550888529887,0
"Athericidae_Simuliidae",0.117336152219873,0.0888529886914378,0.0075
"Athericidae_Tabanidae",0.0116279069767442,0.00726978998384491,0
"Athericidae_Turbellaria",0.0369978858350951,0.0420032310177706,0.0025
"Athericidae_Uenoidae",0.00951374207188161,0.0024232633279483,0
"Baetiscidae_Brachycentridae",0.00634249471458774,0.00323101777059774,0
"Baetiscidae_Caenidae",0.00105708245243129,0.000807754442649435,0.0025
"Baetiscidae_Calopterygidae",0,0,0
"Baetiscidae_Capniidae",0,0,0
"Baetiscidae_Chironomus",0,0,0.0025
"Baetiscidae_Chloroperlidae",0.00422832980972516,0,0
"Baetiscidae_Coenagrionidae",0,0,0
"Baetiscidae_Cordulegastridae",0,0,0
"Baetiscidae_Corixidae",0,0,0
"Baetiscidae_Corydalidae",0.00528541226215645,0.00403877221324717,0
"Baetiscidae_Ephemerellidae",0.00845665961945032,0.00161550888529887,0
"Baetiscidae_Ephemeridae",0,0,0
"Baetiscidae_Glossosomatidae",0.00211416490486258,0.000807754442649435,0
"Baetiscidae_Gomphidae",0.00317124735729387,0.00161550888529887,0.0025
"Baetiscidae_Haliplidae",0,0,0
"Baetiscidae_Helicopsychidae",0.00211416490486258,0,0
"Baetiscidae_Heptageniidae",0.00739957716701903,0.00323101777059774,0
"Baetiscidae_Hirudinea",0,0.000807754442649435,0
"Baetiscidae_Hydroptilidae",0.00317124735729387,0,0
"Baetiscidae_Isonychiidae",0.00528541226215645,0.00323101777059774,0
"Baetiscidae_Lepidostomatidae",0.00528541226215645,0,0
"Baetiscidae_Leptohyphidae",0.00105708245243129,0.00161550888529887,0
"Baetiscidae_Leptophlebiidae",0.00211416490486258,0.000807754442649435,0
"Baetiscidae_Leuctridae",0,0,0
"Baetiscidae_Lymnaeidae",0,0,0
"Baetiscidae_Nemouridae",0.00105708245243129,0,0
"Baetiscidae_Odontoceridae",0.00317124735729387,0.000807754442649435,0
"Baetiscidae_Pelecypoda",0.00211416490486258,0,0
"Baetiscidae_Peltoperlidae",0.00317124735729387,0,0
"Baetiscidae_Perlidae",0.00739957716701903,0.00403877221324717,0
"Baetiscidae_Perlodidae",0.00211416490486258,0,0
"Baetiscidae_Philopotamidae",0.00951374207188161,0.00403877221324717,0
"Baetiscidae_Physidae",0,0,0
"Baetiscidae_Polycentropodidae",0.00317124735729387,0,0
"Baetiscidae_Polymitarcyidae",0,0.000807754442649435,0
"Baetiscidae_Potamanthidae",0,0,0
"Baetiscidae_Psephenidae",0.00105708245243129,0.00161550888529887,0
"Baetiscidae_Pteronarcidae",0.00105708245243129,0.000807754442649435,0
"Baetiscidae_Rhyacophilidae",0.00951374207188161,0,0
"Baetiscidae_Sialidae",0,0,0
"Baetiscidae_Simuliidae",0.00739957716701903,0.0024232633279483,0
"Baetiscidae_Tabanidae",0,0,0
"Baetiscidae_Turbellaria",0,0,0
"Baetiscidae_Uenoidae",0,0,0
"Brachycentridae_Caenidae",0.0486257928118393,0.00403877221324717,0
"Brachycentridae_Calopterygidae",0.00211416490486258,0.000807754442649435,0.0025
"Brachycentridae_Capniidae",0.00422832980972516,0,0
"Brachycentridae_Chironomus",0,0,0
