"sample_id","coll_date","bap","impact","1.High","2.Slight","3.Low"
"7-GEDD-1.4",2006-07-27,4.62,"3.Low",0.00276286909928337,0.0786997390810408,0.918537391819676
"7-GLNK-0.6",2006-07-25,7.3,"2.Slight",0.892485204936029,0.107499850784767,1.49442792039388e-05
"7-GLNK_T19-0.1",2011-09-20,8.47,"1.High",0.991735980978004,0.00826401493525895,4.0867371142175e-09
"7-GLON-2",2016-07-12,7.88,"1.High",0.986959775573306,0.013040195845637,2.85810565980225e-08
"7-GNAR-13.7",1996-08-28,5.81,"2.Slight",0.0231980402728809,0.301086590276957,0.675715369450162
"7-GNAR-22.2",2016-07-12,4,"3.Low",0.171820333055607,0.631050496555753,0.19712917038864
"7-GNAR-25.5",1996-08-28,4.43,"3.Low",0.0114861285392872,0.0877907826862113,0.900723088774502
"7-GNAR-28.6",1996-08-28,4.97,"3.Low",0.10207510131072,0.409549753510965,0.488375145178315
"7-GRBR-0.3",2012-08-08,3.01,"3.Low",0.0378932778538463,0.171419264491573,0.790687457654581
"7-GRBR-1.4",2011-08-31,5.19,"2.Slight",0.205546310588012,0.667862288716115,0.126591400695873
"7-GRIM-5.7",2016-07-12,6.06,"2.Slight",0.974036212620976,0.0259635450765452,2.42302479047082e-07
"7-GROU-1.5",2011-09-02,7.11,"2.Slight",0.998461651280702,0.00153834865804762,6.12509006130927e-11
"7-GULY-0.6",2006-07-26,6.86,"2.Slight",0.668414228377891,0.27058019323529,0.0610055783868192
"7-HALC-0.3",2006-07-26,6.75,"2.Slight",0.821888079486207,0.178011311915707,0.000100608598086089
"7-HARB-0.5",2001-09-05,2,"3.Low",3.90124375180618e-06,0.00164186116585939,0.998354237590389
"7-HECT-1.2",2001-08-23,6.97,"2.Slight",0.869309331766095,0.130681867563763,8.80067014189788e-06
"7-HEMK-0.1",2006-07-25,8,"1.High",0.97010631695369,0.0298935235482501,1.59498059526765e-07
"7-INDA_T3-0.5",2011-09-01,6.44,"2.Slight",0.935391464369987,0.0646080621647876,4.73465225526899e-07
"7-KDIG-4.5",2006-07-26,3.4,"3.Low",0.00253883243074785,0.05176986785911,0.945691299710142
"7-KEUK-0.3",2016-07-12,5.88,"2.Slight",0.871930614941925,0.127950236121038,0.000119148937037221
"7-KNDA-0.1",2006-07-26,5.93,"2.Slight",0.0616257288303277,0.710164997551343,0.22820927361833
"7-KUKA-2.4",2006-07-25,7.11,"2.Slight",0.943800815491925,0.056183265076052,1.59194320228372e-05
"7-LEY-2.1",2016-07-13,4.36,"3.Low",0.000699259838435283,0.0335706618609909,0.965730078300574
"7-LEY_S-1.6",2016-07-13,2.46,"3.Low",0.003417215056012,0.0719238578292149,0.924658927114773
"7-LILS-2.3",1996-07-17,7.4,"2.Slight",0.465683780446679,0.526065056997146,0.00825116255617459
"7-LIME-2.8",2008-08-08,3.96,"3.Low",0.506836530437822,0.47383530883311,0.0193281607290683
"7-LIME-9",1996-07-17,6.17,"2.Slight",0.97277329692614,0.0272255868927924,1.11618106718896e-06
"7-LIME_E-0.2",2016-07-13,6.77,"2.Slight",0.964511522433002,0.0354879427980545,5.34768943443458e-07
"7-LITR-0.2",2006-07-27,3.95,"3.Low",0.0361700280601088,0.627337921730249,0.336492050209642
"7-LRNC_42-56.7",2016-09-14,3.77,"3.Low",0.00561906369041389,0.0335404133330535,0.960840522976533
"7-LRNC_60-82.7",2007-08-07,3.96,"3.Low",0.39931046477922,0.262132914294421,0.338556620926359
"7-LRNC_61-18.5",2007-08-07,1.7,"3.Low",0.0418865271248026,0.159285974288661,0.798827498586536
"7-LRNC_62-12.7",2007-08-07,3.28,"3.Low",0.0978300688547388,0.204592872432742,0.697577058712519
"7-MACK-0.1",2006-07-26,6.85,"2.Slight",0.924589692202886,0.0752167314944713,0.000193576302642597
"7-MADR-1",2006-07-27,8.58,"1.High",0.987027375387358,0.0129726212162305,3.39641123370473e-09
"7-MART-3.8",2011-08-31,3.95,"3.Low",0.0022822286673318,0.0561110803340939,0.941606690998574
"7-MENT-2.4",2011-09-20,7.11,"2.Slight",0.965820085789751,0.0341794790763497,4.35133898927221e-07
"7-MITH-3.5",2016-07-12,4.08,"3.Low",0.126840405260259,0.587522253819517,0.285637340920223
"7-MLOD-3.5",2006-07-26,7.12,"2.Slight",0.776311570675112,0.22090414465229,0.0027842846725976
"7-MUDG-0.2",2008-08-04,4.74,"3.Low",0.404030763996825,0.584060384763639,0.0119088512395365
"7-MUDG-0.5",2006-07-26,6.05,"2.Slight",0.498828392757376,0.495254230307899,0.00591737693472474
"7-MUDG_T77-0.9",2011-09-20,5.99,"2.Slight",0.993963523414267,0.00603644768341905,2.89023135915574e-08
"7-MURY-0.1",2001-09-12,6.79,"2.Slight",0.51880145381075,0.474716577874986,0.00648196831426465
"7-NAPL-2.7",2006-07-25,6.14,"2.Slight",0.564382982986506,0.434362176464901,0.0012548405485925
"7-NETL-2.9",2002-07-16,6.63,"2.Slight",0.660569464224336,0.330252441431896,0.00917809434376751
"7-NINE-0.7",2001-09-05,1.65,"3.Low",0.00758478245591391,0.156182818423899,0.836232399120187
"7-NINE-7.8",2011-09-21,5.99,"2.Slight",0.333513251587566,0.654302362699858,0.0121843857125764
"7-NORB_T10-1.5",2011-09-21,3.25,"3.Low",0.000410918406645812,0.0379046831841711,0.961684398409183
"7-ONDO-0.9",2011-09-29,2.37,"3.Low",3.6723561758906e-05,0.00302139883860502,0.996941877599636
"7-ONEI-10.2",1986-09-03,6.6,"2.Slight",0.21340586739848,0.703365492984979,0.0832286396165416
"7-ONEI-11",1986-09-03,6.4,"2.Slight",0.595144172688207,0.376441872316341,0.028413954995452
"7-ONEI-11.4",1986-09-03,6.58,"2.Slight",0.0214448958561693,0.122290809098116,0.856264295045715
"7-ONEI-12.7",1986-09-03,5.52,"2.Slight",0.48493114451514,0.433669917150336,0.0813989383345247
