"sample_id","bap","probability"
1863,7.08,0.993474819327193
1864,6.33,0.996187668073571
1872,6.96,0.137634218758824
1888,7.2,0.94992012603047
1890,5.4,0.0231671463889477
1894,8.38,0.99993540727341
1895,5.43,0.96456851718019
1897,3.9,0.0294923363192262
1900,7.63,0.996413275511287
1901,5.91,0.75604839127257
1903,5.99,0.993521614473436
1904,6.29,0.120390738787562
1906,5.54,0.31214172325777
1908,8.11,0.998443460373196
1910,5.33,0.926132524095579
1918,5.4,0.965866658116798
1923,7.64,0.982419619825124
1924,7.13,0.99888384866212
1925,7.92,0.99830471385885
1926,7.59,0.997059353584223
1930,8.89,0.976766969134212
1931,6.59,0.736325925488445
1932,5.9,0.89317662590635
1935,5.73,0.970515590212391
1937,6.2,0.177991243890444
1939,4.66,0.0891312155918969
1943,7.13,0.0953565767998148
1946,7.25,0.968046028759729
1948,8.76,0.999874229904702
1952,7.84,0.999270536898942
1953,8.14,0.898054735606635
1954,5.38,0.339601711784839
1955,6.53,0.707304193395356
1962,6.85,0.876502250917045
1963,8.44,0.999042283830288
1965,6.71,0.915682823747018
1968,7.45,0.974189649755705
1980,8.62,0.999713175830097
2035,6.64,0.0239838532818852
2064,4.06,0.0698542154430883
2115,5.15,0.0303637121175164
2116,5.63,0.7460406014577
2118,4.41,0.100793606597802
2120,5.35,0.0294380693361837
2121,4.75,0.110239415814979
2129,6.6,0.428183422430403
2134,6.83,0.996903857029697
2135,7.94,0.914319855570738
2136,6.82,0.991249160829751
2137,7.92,0.996547095633012
2142,7.96,0.997130394921918
2145,7.84,0.999591503661965
2148,8.97,0.999898804849941
2149,7.44,0.985874563385537
2150,5.54,0.877183064432657
2167,4.93,0.0734486446679922
2171,8.41,0.852778715264873
2175,9,0.99998998791068
2177,7.59,0.999996830652081
2182,8.39,0.999933181921423
2187,8.5,0.999394034098692
2191,9.34,0.999999596655049
2194,7.79,0.998521558023016
2198,8.79,0.999386336526452
2205,7.18,0.898687889869161
2206,6.99,0.987808998776985
2212,9.26,0.999998124802436
2214,7.03,0.728039351238902
2225,6.59,0.998980473812262
2228,7.82,0.999608952937949
2229,7.34,0.99373771698545
2232,6.28,0.977563378245838
2238,4.22,0.0427050515075053
2245,7.2,0.990690918180054
2251,5.98,0.0419416870003929
2254,6.25,0.980912886516327
2257,6.81,0
2266,5.62,0.777931279320396
2267,6.7,0.727617253345656
2269,7.34,0.710089966325215
2273,5.43,0.251507337388455
2278,5.3,0.891294913161113
2300,5.69,0.77549119193727
2301,8.13,0.94310864425899
2306,8.19,0.949432113279534
2309,7.47,0.999016468411336
2310,7.77,0.999856080908263
2334,6.05,0.89291642755857
2346,5.87,0.797482248869474
2347,5.7,0.198206639456809
2356,8.72,0.997763556523559
2358,8.27,0.98532838264862
2363,6.33,0.187816371754937
2368,7.93,0.449421342272538
2370,5.47,0.884681097709815
2428,2.83,0.0435761829269315
2429,6.35,0.000557128638926697
2431,2.43,0.124786049760641
2433,6.97,0.918955627153327
2443,4.78,0.00430435786251007
2448,3.35,0
2453,4.95,0.00914219389495874
2487,3.23,0.0165735601461455
2488,7,0.94452641064862
2489,8.92,0.99999563191226
2490,8.44,0.998675126924293
2491,3.28,0.00100230429500886
2495,6.85,0.989096277207367
2498,8,0.987683571004984
2503,7.06,0.877466197981426
2507,6.63,0.688433832416885
2508,7,0.976843950458237
2509,7.76,0.991606148261511
2514,4.35,0.108246205168922
2517,7.24,0.984245584899375
2518,4.9,0.112202113774765
2532,8.78,0.998489754392756
2535,8.78,0.998572302820504
2538,8.35,0.998423132012878
2539,8.52,0.999513267092123
2541,7.14,0.439002632110067
2542,7.94,0.875677590257138
2545,7.02,0.806418507200838
2554,7.6,0.99469098777419
2560,8.14,0.803678529320194
2563,7.55,0.955863126508994
2581,6.03,0.703342480527636
2591,3.71,0.00632349486995976
2594,8.15,0.155422303328357
2598,6.06,0.887108036239128
2599,4.34,0
2607,7.89,0.996989825023164
2624,7.54,0.998469851046675
2625,6.82,0.966934806820997
2628,4.62,0.000453393171384686
2632,9.01,0.999878927206588
2633,8.27,0.999933887903411
2641,8.15,0.999716114342867
2658,7.23,0.995810266017873
2663,8,0.9998197600069
2671,6.2,0.996690769900546
2687,1.94,0.00706351048581394
2690,6.01,0.836757642410547
2693,5.41,0.731817699355087
2698,4.62,0.027174017211019
2703,4.15,0.00209695215684693
2705,3.97,0.0940346652507122
2708,3.27,0.00817280739724162
2724,3.15,0.00214147080752101
2735,4.79,0.273509341290139
2747,4.65,0.307179130830386
2754,6.77,0.991223663791606
2756,7.74,0.976212929481696
2762,5.1,0.139637561498611
