"sample_id","bap","probability"
1024,7.4,0.000447307449320424
1028,8.52,0
1038,5.47,4.76591567749902e-05
1042,6.16,0
1045,8.51,0
1058,6.16,1.40521817254034e-05
1059,8.75,6.10364956559524e-06
1060,7.14,4.26853114387224e-05
1062,7.63,0
1068,1.7,0.871779141104295
1073,6.23,0.250376759160105
1085,5.04,0.0953529307010717
1091,5.87,0
1123,5.78,0.0200410229988855
1133,6.86,0.223116762602602
1134,6.55,0
1135,3.77,0.643583278955589
1140,6.12,0.000942734703775294
1142,6.24,0
1144,7.36,0
1145,7.88,6.79175319901763e-11
1148,6.3,0.00244987880792715
1149,8.29,1.7592453032955e-08
1151,5.59,0.020132090025065
1155,8.41,2.9462019967673e-08
1157,8.24,0
1159,6.93,2.99381028457666e-05
1160,9.24,4.88137289518124e-10
1163,7.48,0
1164,5.17,0.000674626899398582
1165,4.33,0.000574899684389679
1166,7.37,1.82864517082887e-05
1167,7.87,0
1168,7.64,0
1169,6.86,0.000259104729621414
1172,5.86,2.45001544522285e-06
1173,8.15,0
1176,7.42,1.84916126941073e-05
1178,5.71,5.75867693425643e-06
1182,1.16,0.490923896447596
1185,6.93,0
1187,5.9,8.051365366418e-06
1192,8.28,2.10647615860466e-07
1195,6.84,0
1201,4.59,0.85029559745144
1205,6.26,0
1208,6.06,0.0163302716222671
1209,5.39,2.22749538601717e-05
1211,7.77,0
1212,7.65,0
1213,8.76,6.21354180198512e-08
1218,5.44,0.346278587880205
1223,5.76,0
1225,6.86,0
1226,8.12,0
1227,8.32,0
1228,8.21,0
1231,8.5,1.16323660023263e-07
1234,5.94,1.41249241474821e-06
1235,7.82,0
1236,7.16,0
1248,7.01,0
1249,8.46,4.95196190751173e-05
1251,8.7,0
1253,8.68,0
1254,8.96,0
1261,7.7,8.28761574509615e-05
1263,7,0
1264,8.79,1.52356694687491e-10
1266,8.7,0
1267,4.15,0.809729913317864
1270,5.18,0.0106657522611379
1272,2.68,0.979571006371981
1273,1.93,0.999748191234545
1274,7.11,5.0092202522625e-07
1277,4.27,0.896903557538766
1583,7.5,0
1591,1.52,0.991376430770568
1593,8.31,0
1594,7.94,2.40748883661768e-07
1596,9.15,3.65856129982446e-10
1597,8.62,0
1598,8.77,1.38046040905436e-07
1599,7.57,1.86134718004299e-07
1629,8.49,0
1631,7.56,0
1633,8.4,0
1636,3.86,0.870216528786685
1638,5.82,0.000537935849473094
1639,8.81,0
1641,8.22,0
1643,5.13,0.00340666213117775
1644,6.77,0
1645,6.31,6.51602480251767e-06
1648,4.61,0.320401248920481
1649,6.21,4.24560538377962e-06
1650,7.63,0
1653,6.07,0.266892834693504
1655,7.34,0.0171905953625817
1657,6.97,1.53569441055412e-06
1658,6.09,0
1677,7.39,0
1687,7.73,0
1688,7.78,0
1699,6.33,0
1702,8.53,0
1705,6.44,0.0171387824794381
1706,4.01,0.0607036873096538
1707,7.39,0
1708,7.86,0
1709,7.84,0
1710,6.26,0.326287593491338
1711,4.04,0.555245861013138
1714,6.07,0.500656695900197
1717,5.41,0.00220264504802595
1718,2.66,0.964366012345545
1722,4.91,0.229473511236562
1723,7.15,0
