"sample_id","Collection.Date","3.Low","PossiblyImpaired"
"42.8335,-77.6967","09/27/2013",0.582771667416753,"yes"
"42.834,77.8962","09/30/2016",0.506232213088955,"yes"
"42.8454,-74.0129","08/31/2012",0.991823118519524,"yes"
"42.85,-76.464","7/18/2017",0.669033724193304,"yes"
"42.853,-73.8959","07/20/2016",0.901286057963983,"yes"
"42.875,-76.562","8/10/2017",0.907429010509233,"yes"
"42.885,-76.47","7/18/2017",0.757702191424318,"yes"
"42.8929,-77.6742","08/01/2014",0.958137872994807,"yes"
"42.894,-73.7911","08/06/2013",0.920139868231059,"yes"
"42.896,-73.7913","09/09/2015",0.874701898954474,"yes"
"42.9012,-76.5273","09/20/2015",0.839692074936903,"yes"
"42.9037,-73.5455","08/21/2015",0.76814700438678,"yes"
"42.917,-76.515","7/18/2017",0.994436418552232,"yes"
"42.918,-76.522","7/18/2017",0.518316363728913,"yes"
"42.9183,-73.7694","08/06/2013",0.627187809280114,"yes"
"42.924,-76.508","7/17/2017",0.915583123839985,"yes"
"42.9462,-73.9953","7/18/2017",0.804245384981194,"yes"
"42.979,-77.9884","9/30/2017",0.835486912721817,"yes"
"43.0049,-78.9058","09/14/2014",0.971203229539137,"yes"
"43.0166,-73.7701","08/12/2016",0.974161497101611,"yes"
"43.0292,-77.8221","09/15/2013",0.79219461550687,"yes"
"43.0295,-78.3938","08/05/2014",0.905790375616307,"yes"
"43.0455,-77.387","09/29/2013",0.558715186312463,"yes"
"43.0519,-78.7516","08/02/2014",0.992721042751059,"yes"
"43.0894,-73.7704","09/16/2016",0.975837577652535,"yes"
"43.093,-77.8648","08/13/2013",0.891294492681998,"yes"
"43.1,-77.7531","9/27/2017",0.995846519677905,"yes"
"43.108,-77.4631","09/17/2016",0.918537391819676,"yes"
"43.108,-77.471","08/26/2016",0.686408864944482,"yes"
"43.1343,-77.5251","07/19/2014",0.752952277333677,"yes"
"43.1603,-76.3281","08/19/2015",0.900792843109315,"yes"
"43.2382,-77.5724","08/08/2014",0.667688888176085,"yes"
"43.2413,-77.3395","07/18/2014",0.824697241640949,"yes"
"43.2552,-77.4715","7/15/2017",0.647452990113345,"yes"
"43.2582,-77.3077","8/25/2017",0.747964097058582,"yes"
"43.2585,-75.9122","08/10/2016",0.563608941911114,"yes"
"43.2593,-77.0251","09/27/2014",0.70470192830961,"yes"
"43.2672,-77.2495","07/01/2014",0.952435429422851,"yes"
"43.2734,-77.3143","09/30/2013",0.941606690998574,"yes"
"43.2756,-77.2749","09/29/2013",0.92242691273843,"yes"
"43.2772,-77.85","09/06/2015",0.767069481877955,"yes"
"43.284,-75.5603","09/08/2015",0.809310783612654,"yes"
"43.2841,-77.8852","08/13/2013",0.970546307837844,"yes"
"43.2841,-77.8852","08/15/2013",0.970546307837844,"yes"
"43.2853,-78.7133","09/24/2015",0.946004390919611,"yes"
"43.3335,-77.9345","09/06/2013",0.863771060733533,"yes"
"43.4669,-76.18","09/05/2016",0.524063276830043,"yes"
"43.7217,-73.8148","08/14/2014",0.804245384981194,"yes"
"43.8021,-76.2117","09/10/2016",0.876537725653138,"yes"
"43.8055,-76.2156","07/25/2016",0.667688888176085,"yes"
"43.8457,-76.182","07/21/2016",0.979719357823597,"yes"
"44.2699,-75.9992","08/26/2014",0.7512652143653,"yes"
"45.0026,-73.3755","8/10/2017",0.946029543052478,"yes"
